"sys_id","u_region","u_sa3_code","u_state"
"080ae037dbcb18508df5d8c7f49619f1","Yarrawonga","21602","Victoria"
"08556847db2d20d05229e126059619f5","Loddon","20203","Victoria"
"0b53991adb7f94505229e1260596198b","Richmond","31502","Queensland"
"0fc29d56db7f94505229e1260596194f","Cloncurry","31502","Queensland"
"14ad351fdb4f94508df5d8c7f4961911","Kalgoorlie","51103","Western Australia"
"168389e1dbe71410d4d3a58405961914","Armidale","11001","New South Wales"
"19a4d55adb7f94505229e12605961938","Mittagong","11402","New South Wales"
"1d47591edb7f94505229e12605961966","Mapoon","31501","Queensland"
"1f400e6fdb1f54108df5d8c7f4961959","Maryborough","20103","Victoria"
"214a31dddb3808103cfa366d7c961933","Adelaide - Inner City","40101, 40107, 40106","South Australia"
"22415916db7f94505229e126059619f1","Burke","31502","Queensland"
"31c7370bdbe88010de73bd16f4961997","Brisbane - North","30201, 30204, 30203, 30202","Queensland"
"31c7b70bdbe88010de73bd16f496191b","Sunshine Coast","31605, 31601, 31607, 31606, 31603, 31608, 31602","Queensland"
"31c7b70bdbe88010de73bd16f496191e","Cooma","10103","New South Wales"
"31c7b70bdbe88010de73bd16f4961921","Sydney - Liverpool","12302","New South Wales"
"31c7b70bdbe88010de73bd16f4961924","Adelaide - East - Hills","40105, 40102, 40104, 40103","South Australia"
"31c7b70bdbe88010de73bd16f4961927","Melbourne - Inner City","20605, 20601, 20604, 20607, 20603, 20606, 20602","Victoria"
"31c7b70bdbe88010de73bd16f496192a","Perth - South","50605, 50601, 50604, 50701, 50101, 50201, 50607, 50603, 50901, 50606, 50602, 50103","Western Australia"
"3234c125dbe71410d4d3a58405961957","Crookwell","10105","New South Wales"
"3577555edb7f94505229e12605961904","Mossman Gorge","30604","Queensland"
"35bd5ba1db744010de73bd16f49619a2","Outback","40601, 70202, 70205, 70204, 40602, 70203","South Australia"
"35c7370bdbe88010de73bd16f4961999","Moreton Bay","31305, 31301, 31401, 31304, 31403, 31303, 31402, 31302","Queensland"
"35c7b70bdbe88010de73bd16f496191d","Broken Hill","10502","New South Wales"
"35c7b70bdbe88010de73bd16f4961920","Sydney - Eastern Suburbs","11802, 11801","New South Wales"
"35c7b70bdbe88010de73bd16f4961923","Wollongong","10704, 10703, 10702, 10701","New South Wales"
"35c7b70bdbe88010de73bd16f4961926","Ballarat","20103, 20102, 20101","Victoria"
"35c7b70bdbe88010de73bd16f4961929","Perth - East",,"Western Australia"
"398cb6fbdbe75c105229e126059619f5","Mount Gambier","40702","South Australia"
"39c7370bdbe88010de73bd16f4961998","Ipswich","31004, 31003, 31002, 31001","Queensland"
"39c7b70bdbe88010de73bd16f496191c","Albury","10901, 11302","New South Wales"
"39c7b70bdbe88010de73bd16f496191f","Newcastle","11101, 11103, 11102","New South Wales"
"39c7b70bdbe88010de73bd16f4961922","Tamworth","11004, 11003","New South Wales"
"39c7b70bdbe88010de73bd16f4961925","Burnie - North West","60402, 60401, 60403","Tasmania"
"39c7b70bdbe88010de73bd16f4961928","Warragul","20501","Victoria"
"3dc7370bdbe88010de73bd16f4961997","Central Queensland","30801, 30804, 30805","Queensland"
"3dc7b70bdbe88010de73bd16f496191b","Roma","30702","Queensland"
"3dc7b70bdbe88010de73bd16f496191e","Kempsey","10802","New South Wales"
"3dc7b70bdbe88010de73bd16f4961921","Sydney - Northern Beaches","12203, 12202, 12201","New South Wales"
"3dc7b70bdbe88010de73bd16f4961924","Barossa Valley - Kangaroo Island","40501","South Australia"
"3dc7b70bdbe88010de73bd16f4961927","Mildura","10902, 21502","Victoria"
"42b85fd7dbe22c1067de4837059619d3","Deloraine","60202","Tasmania"
"4322d556db7f94505229e1260596191a","Carpentaria","31502","Queensland"
"521053b9db2c6c10d4d3a58405961966","Port Douglas","30604","Queensland"
"5837d51edb7f94505229e1260596194e","Coen","31501","Queensland"
"58d29a21db9310908df5d8c7f49619d6","Katherine","70205","Northern Territory"
"59ec763fdbe75c105229e12605961971","Orange","10304","New South Wales"
"5c315516db7f94505229e1260596191f","Mandurah","50201","Western Australia"
"5e758aa3db5f54108df5d8c7f49619cb","Gunbalanya","70203","Northern Territory"
"5e8015ff1b9e5450908033fccc4bcbb2","Port Macquarie","10804","New South Wales"
"5febfefbdbe75c105229e12605961920","Junee","11303","New South Wales"
"6c223e69dba82c10d4d3a58405961946","Horsham","21501","Victoria"
"6cac763fdbe75c105229e12605961904","Longford","60203","Tasmania"
"6ed29996db7f94505229e126059619f6","Croydon","31502","Queensland"
"71c7370bdbe88010de73bd16f4961999","Maryborough - Bundaberg","31905, 31901","Queensland"
"71c7b70bdbe88010de73bd16f496191d","Blue Mountains","12405, 12402, 12401","New South Wales"
"71c7b70bdbe88010de73bd16f4961920","Sydney - Inner City","11701, 11703, 11702","New South Wales"
"71c7b70bdbe88010de73bd16f4961923","Wagga Wagga","11303, 10903, 11301","New South Wales"
"71c7b70bdbe88010de73bd16f4961926","Bairnsdale","20502","Victoria"
"71c7b70bdbe88010de73bd16f4961929","Northern WA","51001, 51002, 51003","Western Australia"
"75c7370bdbe88010de73bd16f4961998","Gympie - Hinterland","31903","Queensland"
"75c7b70bdbe88010de73bd16f496191c","Queanbeyan (NSW)","10102","Australian Capital Territory"
"75c7b70bdbe88010de73bd16f496191f","Muswellbrook","10604","New South Wales"
"75c7b70bdbe88010de73bd16f4961922","Sydney - Sutherland Shire","12802, 12801","New South Wales"
"75c7b70bdbe88010de73bd16f4961925","Yorke Peninsula - Mid North","40504, 40503, 40502","South Australia"
"75c7b70bdbe88010de73bd16f4961928","Wangaratta","20403, 20402","Victoria"
"760eb51fdb4f94508df5d8c7f4961929","Bunbury","50102","Western Australia"
"79c7370bdbe88010de73bd16f4961997","Cairns","30603, 30602, 31501, 30605, 30601, 30604","Queensland"
"79c7b70bdbe88010de73bd16f496191b","Rockhampton","30803","Queensland"
"79c7b70bdbe88010de73bd16f496191e","Hunter Valley","10604, 10603, 10602, 10601","New South Wales"
"79c7b70bdbe88010de73bd16f4961921","Sydney - South West","12302, 11902, 12703, 11901, 12301, 12702, 12701, 11904, 12303, 11903","New South Wales"
"79c7b70bdbe88010de73bd16f4961924","Adelaide - West","40401, 40403, 40402","South Australia"
"79c7b70bdbe88010de73bd16f4961927","Melbourne - West","21302, 21501, 21305, 21301, 21001, 21304, 21303","Victoria"
"79c7b70bdbe88010de73bd16f496192a","South West WA",,"Western Australia"
"7cdd351fdb4f94508df5d8c7f4961974","Karratha","51003","Western Australia"
"7d1970cddb9b5c508df5d8c7f4961997","Byron Bay","11201","New South Wales"
"7d3b31d0db522450d4d3a584059619ce","Mount Morgan","30803","Queensland"
"7dc7370bdbe88010de73bd16f4961995","Brisbane - Inner City","30503, 30502, 30501, 30504","Queensland"
"7dc7370bdbe88010de73bd16f4961996","Brisbane - East","30103, 30102, 30101","Queensland"
"7dc7b70bdbe88010de73bd16f496191d","Coffs Harbour","10402, 10401","New South Wales"
"7dc7b70bdbe88010de73bd16f4961920","Sydney - Hills District","11501, 11504, 11503, 11502","New South Wales"
"7dc7b70bdbe88010de73bd16f4961923","Darwin","70103, 70102, 70101, 70104","Northern Territory"
"7dc7b70bdbe88010de73bd16f4961926","Melbourne - East","21101, 21105, 20703, 20505, 21104, 20702, 20504, 21103, 20701, 21102, 21201, 20503","Victoria"
"7dc7b70bdbe88010de73bd16f4961929","Perth - North","50501, 50403, 50402, 50503, 50401, 50502","Western Australia"
"812c3abbdbe75c105229e126059619d3","Cootamundra","11302","New South Wales"
"8266911edb7f94505229e12605961950","Tamborine Mountain","30904","Queensland"
"8a3fc379db2c6c10d4d3a584059619f3","Whyalla","40601","South Australia"
"8bf6551edb7f94505229e126059619da","Aurukun","31501","Queensland"
"9344115adb7f94505229e12605961976","Tablelands","30605","Queensland"
"97d6991edb7f94505229e12605961979","Kowanyama","31501","Queensland"
"984e711fdb4f94508df5d8c7f49619b7","Albany","50901","Western Australia"
"9ba5955adb7f94505229e1260596193d","Cowra","10302","New South Wales"
"a2012d44dbb39c105229e1260596199d","Tweed Valley","11203","New South Wales"
"a230d981dbce50502509147a3a9619e1","Ballina","11201","New South Wales"
"a56311d6db7f94505229e12605961945","Mornington","31502","Queensland"
"a674c125dbe71410d4d3a5840596191e","Stanthorpe","30703","Queensland"
"a984ce63db5f54108df5d8c7f496192f","Hervey Bay","31904","Queensland"
"a9ed791fdb4f94508df5d8c7f49619c1","Port Hedland","51002","Western Australia"
"abd055d2db7f94505229e126059619f2","Cardinia","21201","Victoria"
"abd982e7db5f54108df5d8c7f496198b","Maningrida","70203","Northern Territory"
"b1c7370bdbe88010de73bd16f4961998","Gold Coast","30907, 30903, 30910, 30906, 30902, 30905, 30901, 30909, 30908, 30904","Queensland"
"b1c7b70bdbe88010de73bd16f496191c","Canberra","80109, 80106, 80103, 10106, 80105, 80101, 80108, 80111, 80110, 80107, 80104","Australian Capital Territory"
"b1c7b70bdbe88010de73bd16f496191f","Maitland","10602","New South Wales"
"b1c7b70bdbe88010de73bd16f4961922","Sydney - Ryde","12602, 12601","New South Wales"
"b1c7b70bdbe88010de73bd16f4961925","South East SA","40701, 40703, 40702","South Australia"
"b1c7b70bdbe88010de73bd16f4961928","Shepparton","21602, 21601, 21603","Victoria"
"b2d38de1dbe71410d4d3a58405961953","Yass","10106","New South Wales"
"b4808e99dba5e8905229e126059619b9","Daylesford ","20102","Victoria"
"b5c7370bdbe88010de73bd16f4961997","Brisbane - West","30403, 30402, 30401, 30404","Queensland"
"b5c7b70bdbe88010de73bd16f496191b","Townsville","31802, 31801","Queensland"
"b5c7b70bdbe88010de73bd16f496191e","Goulburn","10105","New South Wales"
"b5c7b70bdbe88010de73bd16f4961921","Sydney - South","12802","New South Wales"
"b5c7b70bdbe88010de73bd16f4961924","Adelaide - South","40301, 40304, 40303, 40302","South Australia"
"b5c7b70bdbe88010de73bd16f4961927","Melbourne - South","20802, 21204, 20801, 21203, 20804, 21202, 20803, 21205","Victoria"
"b5c7b70bdbe88010de73bd16f496192a","Southern WA","51102, 50903, 50102, 51101, 51104, 50902, 51103","Western Australia"
"b9c7b70bdbe88010de73bd16f496191d","Central Coast","10202, 10201","New South Wales"
"b9c7b70bdbe88010de73bd16f4961920","Sydney - Parramatta","12504, 12503, 12502, 12501","New South Wales"
"b9c7b70bdbe88010de73bd16f4961923","Alice Springs","70201","Northern Territory"
"b9c7b70bdbe88010de73bd16f4961926","Geelong","20302, 20301, 20303","Victoria"
"b9c7b70bdbe88010de73bd16f4961929","Perth - Inner City","50302, 50301","Western Australia"
"bdc7370bdbe88010de73bd16f4961998","Mackay - Isaac - Whitsunday","31201, 31203, 31202","Queensland"
"bdc7b70bdbe88010de73bd16f496191c","Bega","10104","New South Wales"
"bdc7b70bdbe88010de73bd16f496191f","Penrith","12403","New South Wales"
"bdc7b70bdbe88010de73bd16f4961922","Tweed Heads","11203, 11201","New South Wales"
"bdc7b70bdbe88010de73bd16f4961925","Hobart","60106, 60105, 60102, 60303, 60101, 60104, 60302, 60103, 60301","Tasmania"
"bdc7b70bdbe88010de73bd16f4961928","Central and Eastern WA",,"Western Australia"
"c5933ee9dba82c10d4d3a58405961996","Sale","20505","Victoria"
"c5f0d116db7f94505229e126059619fd","Casey","21202, 21203","Victoria"
"d43311d6db7f94505229e12605961972","McKinlay","31502","Queensland"
"d8b4366ddba82c10d4d3a584059619b2","Batemans Bay","10104","New South Wales"
"d8f9c9ecdb07d8108df5d8c7f496191f","Gladstone","30805","Queensland"
"d907591edb7f94505229e1260596196a","Napranum","31501","Queensland"
"daa7d15edb7f94505229e12605961998","Hope Vale","31501","Queensland"
"dab2da21db9310908df5d8c7f49619dd","Palmerston","70104","Northern Territory"
"dc507ae5dba82c10d4d3a58405961922","Portland","21701","Victoria"
"ddcbc628db126450d4d3a5840596198a","Tennant Creek","70202","Northern Territory"
"e1a9f150db522450d4d3a58405961978","Atherton","30605","Queensland"
"e52d311fdb4f94508df5d8c7f49619c8","Mount Isa","31501","Queensland"
"e5c3b1d8db122450d4d3a584059619bf","Cooktown","31501","Queensland"
"f1039996db7f94505229e12605961927","Flinders","31502","Queensland"
"f1c7370bdbe88010de73bd16f4961997","Brisbane - South","30301, 30305, 30304, 30303, 30302, 30306","Queensland"
"f1c7b70bdbe88010de73bd16f496191b","Toowoomba","31701","Queensland"
"f1c7b70bdbe88010de73bd16f496191e","Dubbo","10501, 10503, 10303","New South Wales"
"f1c7b70bdbe88010de73bd16f4961921","Sydney - Inner West","12002, 12001, 12003","New South Wales"
"f1c7b70bdbe88010de73bd16f4961924","Adelaide - North","40202, 40205, 40201, 40204, 40203","South Australia"
"f1c7b70bdbe88010de73bd16f4961927","Melbourne - North","21002, 20902, 20401, 20901, 21005, 21004, 20904, 21003, 20903","Victoria"
"f1c7b70bdbe88010de73bd16f496192a","Perth - West",,"Western Australia"
"f36cf114db522450d4d3a584059619b8","Timber Creek","70205","Northern Territory"
"f5c7b70bdbe88010de73bd16f496191d","Campbelltown","12302","New South Wales"
"f5c7b70bdbe88010de73bd16f4961920","Sydney - Blacktown","11602, 11601, 11603","New South Wales"
"f5c7b70bdbe88010de73bd16f4961923","Windsor","12404","New South Wales"
"f5c7b70bdbe88010de73bd16f4961926","Bendigo","20202, 20201, 21503, 20203","Victoria"
"f5c7b70bdbe88010de73bd16f4961929","Perth - Fremantle","50703, 50702, 50705, 50704","Western Australia"
"f7a2452adbb52cd05229e1260596196a","Yeppoon","30803","Queensland"
"f83c4a28db126450d4d3a5840596197b","Thursday Island","31501","Queensland"
"f9c7370bdbe88010de73bd16f4961998","Logan - Beaudesert","31104, 31103, 31106, 31102, 31105, 31101","Queensland"
"f9c7b70bdbe88010de73bd16f496191c","Bathurst","10304, 10301, 10302","New South Wales"
"f9c7b70bdbe88010de73bd16f496191f","Nowra","11402, 11401","New South Wales"
"f9c7b70bdbe88010de73bd16f4961922","Taree","10805","New South Wales"
"f9c7b70bdbe88010de73bd16f4961925","Launceston - North East","60203, 60202, 60201","Tasmania"
"f9c7b70bdbe88010de73bd16f4961928","Warrnambool","21704","Victoria"
"fc96d1dadb7f94505229e12605961980","Gawler","40201","South Australia"
"fdc7370bdbe88010de73bd16f4961997","Darling Downs - Maranoa","30701, 30703","Queensland"
"fdc7b70bdbe88010de73bd16f496191b","Wide Bay","31904, 31902","Queensland"
"fdc7b70bdbe88010de73bd16f496191e","Lismore","11202","New South Wales"
"fdc7b70bdbe88010de73bd16f4961921","Sydney - North Shore","12103, 12102, 12101, 12104","New South Wales"
"fdc7b70bdbe88010de73bd16f4961924","Port Augusta - North SA",,"South Australia"
"fdc7b70bdbe88010de73bd16f4961927","Mornington Peninsula","21401, 21402","Victoria"
"fe4a363fdbe75c105229e126059619fa","Temora","11303","New South Wales"
"fe85dd9adb7f94505229e126059619be","Cassowary Coast","30603","Queensland"